Random,Random,Random,Random,First,First,First,First,Degree,Degree,Degree,Degree,Normal,Normal,Normal,Normal,Sugar,Sugar,Sugar,Sugar,Difficulty,Difficulty
51,53,345,598,39,40,227,384,62,51,222,376,66,46,196,326,29,25,146,243,.000520196,2
33,35,162,267,40,47,253,426,71,47,233,402,84,55,273,476,51,45,294,495,.000816059,3
15,17,152,280,19,23,160,292,24,11,86,150,18,12,72,126,16,12,109,200,.000355685,2
35,47,235,401,33,56,272,480,57,39,191,321,63,43,201,359,22,30,201,360,.000697123,2
25,29,245,447,31,34,280,501,46,24,199,363,43,23,187,337,27,36,235,417,.000677021,3
50,41,190,289,32,37,286,510,53,36,221,396,48,35,171,295,32,32,172,288,.000561356,4
52,55,271,448,49,53,272,452,65,44,234,392,65,51,196,319,47,40,137,189,.000705321,7
21,20,110,183,22,27,145,250,30,21,116,209,25,19,89,155,23,22,131,224,.000403403,3
35,31,204,344,21,27,178,317,25,13,72,102,24,12,68,94,26,26,170,299,.000409381,2
42,43,201,325,32,45,168,273,38,26,137,229,40,25,143,242,29,26,135,222,.000452496,3
15,12,86,142,22,23,146,250,33,18,103,184,32,18,100,178,19,13,60,83,.000313718,2
14,19,166,309,11,17,196,370,17,17,155,282,18,17,158,286,11,15,147,271,.000322002,3
31,30,206,348,26,24,136,218,37,22,140,253,36,23,120,210,23,20,103,165,.00046385,4
19,19,138,239,12,12,82,141,24,14,88,143,38,25,131,218,17,14,112,195,.000324817,2
32,28,171,286,37,41,221,367,93,56,308,545,72,50,247,418,31,33,182,320,.00054116,4
18,14,141,251,14,15,118,209,26,14,117,195,24,14,110,185,21,14,180,329,.000332663,2
45,45,227,369,44,65,306,523,105,66,307,559,93,55,283,515,40,48,273,473,.000636769,2
16,12,54,77,22,21,123,206,19,11,83,136,18,11,80,130,19,15,114,196,.000303228,4
15,15,89,151,9,8,175,331,28,17,103,180,30,17,109,192,19,13,88,152,.000410545,3
34,33,205,341,31,34,184,310,49,34,196,333,43,30,164,285,48,31,230,389,.000451379,6
22,19,181,325,18,19,175,322,14,6,60,99,14,6,60,99,13,6,56,89,.000247367,2
24,21,121,197,20,21,157,274,25,20,101,171,29,20,110,191,27,21,123,216,.000381945,3
53,51,403,700,32,36,192,321,42,28,151,261,38,27,137,241,43,37,223,402,.000616811,3
49,45,250,409,55,55,332,556,61,30,167,273,65,33,178,296,39,33,162,257,.000760888,7
46,44,277,464,50,67,389,681,20,18,61,89,35,24,112,184,41,45,330,588,.000622493,3
60,55,353,594,35,48,280,490,25,15,103,176,30,18,110,181,32,24,150,252,.000466436,3
26,21,134,225,24,24,147,250,15,10,61,98,24,15,85,136,17,14,105,176,.000370504,3
27,23,170,288,34,39,255,456,36,24,169,292,39,22,151,253,28,22,151,256,.000582399,5
31,26,104,151,22,32,118,197,55,41,206,338,54,40,193,309,35,31,136,215,.000692203,3
33,29,199,337,37,32,304,541,38,23,142,239,36,22,141,235,35,25,138,217,.000403957,4
59,52,243,377,59,55,322,538,48,30,197,337,44,27,182,314,44,36,292,517,.000604842,9
34,37,192,320,27,38,175,302,55,38,203,344,49,37,174,303,32,40,138,216,.000892655,2
28,26,154,271,14,14,101,179,12,5,35,48,15,7,38,51,12,6,35,48,.000238198,2
43,32,117,157,23,18,57,72,34,15,79,98,65,38,189,297,32,16,79,100,.000327551,4
44,45,236,394,27,34,200,345,48,34,156,263,56,40,185,313,38,35,185,303,.000916232,3
38,25,113,160,27,34,149,242,79,41,239,413,71,44,225,377,30,23,202,352,.000583489,3
36,38,259,458,38,44,255,430,38,25,119,180,60,29,168,246,34,31,175,286,.000555428,6
15,13,85,139,17,20,139,247,23,15,73,106,23,13,71,103,22,14,73,110,.00034322,4
27,26,131,208,20,17,93,144,18,11,60,99,18,12,66,111,17,13,69,107,.000389985,3
23,25,117,195,26,32,182,314,36,27,139,223,40,24,137,244,18,19,101,173,.00046805,3
22,20,134,227,18,25,162,292,28,16,91,140,22,13,75,118,24,14,79,123,.000287138,2
11,11,95,169,15,18,113,200,21,12,87,149,22,11,91,159,19,15,148,264,.000286752,3
7,7,208,403,7,5,160,306,7,3,63,112,7,3,54,94,7,3,81,148,.000295024,3
7,3,101,188,7,3,56,97,8,3,33,49,8,3,33,49,8,3,33,49,.000221664,3
29,28,152,252,16,20,131,229,65,41,247,437,104,64,371,629,18,14,99,173,.000337742,3
32,30,203,347,24,25,101,156,22,14,64,90,25,22,103,171,16,16,73,115,.000404274,2
15,17,131,236,25,35,244,443,45,32,171,298,55,33,166,279,44,37,259,475,.000580022,2
50,50,235,379,52,61,323,545,46,34,196,333,33,27,125,205,36,44,260,450,.000621402,4
24,23,138,231,15,18,83,136,29,15,126,221,28,16,120,211,23,14,134,241,.000317518,3
48,58,285,483,24,31,290,535,59,38,187,321,86,57,268,428,30,38,217,376,.000693627,2
30,27,165,282,22,25,139,239,23,13,80,128,22,12,77,122,21,17,83,125,.00034531,6
49,44,239,388,29,33,162,269,52,28,200,353,46,28,146,229,27,33,217,382,.000525916,4
18,12,82,134,18,24,195,353,31,17,118,195,29,20,105,158,19,13,65,97,.00041112,2
19,18,91,144,20,33,179,318,37,22,145,253,41,25,150,263,21,21,142,247,.000627279,2
39,30,195,324,29,33,228,400,35,23,127,213,32,24,104,155,42,34,194,324,.000446828,3
26,26,151,252,30,31,160,271,38,22,151,265,37,23,145,250,27,20,122,209,.000448963,6
36,31,142,219,30,28,118,182,34,23,114,173,31,19,102,153,26,23,202,366,.000419648,3
43,56,327,568,29,29,169,280,25,14,112,191,36,24,127,208,20,18,144,258,.000550709,6
37,33,242,418,27,32,171,293,33,20,119,193,45,24,139,221,27,24,152,264,.000555148,3
60,55,235,362,31,40,205,351,64,35,188,281,53,29,156,225,39,38,257,441,.000624341,3
40,47,233,386,25,31,188,332,79,48,283,502,104,56,337,598,69,57,370,642,.000848786,3
31,35,215,374,14,19,138,250,43,21,143,223,40,23,133,206,30,22,172,301,.000452958,3
26,21,127,203,18,22,105,175,25,16,92,159,25,17,111,193,26,20,143,246,.000382164,3
49,46,229,364,28,38,176,297,76,52,231,387,81,51,267,457,44,38,134,191,.000475908,5
35,45,233,400,26,43,169,290,59,45,195,361,66,48,202,367,25,27,128,212,.000529576,2
19,14,134,231,14,13,107,188,34,21,135,228,36,20,135,236,22,16,113,189,.000285493,4
35,33,193,320,32,43,164,269,57,35,162,259,64,39,184,295,30,33,170,299,.000664945,4
44,45,345,622,35,46,289,511,54,28,161,244,61,31,171,252,23,24,194,354,.000521447,3
24,23,132,218,25,28,187,327,26,21,121,212,27,21,123,214,20,21,127,221,.000675259,3
27,30,177,303,11,19,126,230,28,16,104,175,26,17,97,166,22,17,169,308,.000320141,3
38,38,171,274,22,34,210,375,44,33,163,288,42,29,147,254,26,27,152,264,.000439007,3
27,33,231,414,22,30,158,274,25,20,118,216,23,16,101,186,12,14,67,114,.000313538,3
13,9,148,274,12,8,117,211,12,4,60,101,13,5,62,105,12,5,59,99,.000278683,2
20,23,118,194,27,29,170,287,24,14,117,210,23,13,109,196,21,14,228,422,.000461306,3
13,9,78,134,9,7,89,160,14,4,66,114,13,4,63,108,13,4,72,126,.000234662,1
39,41,159,244,35,43,221,372,58,46,159,237,30,25,109,166,41,36,162,247,.000773371,3
37,35,171,273,23,20,206,371,20,15,94,156,25,17,105,178,25,16,120,196,.000358678,5
31,32,164,271,37,47,277,496,36,24,80,107,34,21,73,93,39,26,90,119,.00045039,2
38,40,260,448,29,36,202,359,33,23,113,185,36,24,125,203,28,29,189,328,.000421539,5
39,36,285,495,31,41,200,346,46,28,201,360,54,33,224,404,27,24,124,203,.000463312,4
18,12,158,281,15,10,120,208,16,7,108,191,17,7,110,195,17,7,110,195,.000249509,6
12,11,112,201,9,9,142,264,15,7,73,126,14,7,63,106,12,6,87,158,.000293368,2
34,33,174,283,25,34,207,365,52,34,138,213,49,30,130,205,46,37,217,379,.000377834,2
13,16,92,160,11,23,122,223,14,15,71,119,19,20,110,194,14,19,175,323,.000316492,2
22,22,147,255,35,40,204,345,44,29,145,241,38,27,132,215,38,32,184,308,.000672813,3
16,12,51,73,14,17,72,115,39,29,139,233,37,21,127,209,17,14,62,93,.00033825,2
22,23,174,315,20,23,250,467,40,26,158,272,43,27,174,291,25,24,191,344,.000537218,2
18,27,183,331,11,18,122,223,13,11,122,221,13,11,118,215,11,11,215,408,.000311779,4
36,31,184,307,30,34,195,330,44,27,159,250,36,19,125,197,22,18,115,196,.000347072,8
27,26,106,161,17,23,158,282,25,16,92,144,25,16,87,138,34,30,185,307,.000365966,4
34,32,178,304,41,44,236,396,60,43,170,295,50,37,150,261,45,41,168,266,.000641786,2
11,6,99,177,11,5,75,127,17,7,90,162,18,7,93,168,16,7,73,117,.000245989,2
32,39,181,298,34,62,293,517,58,43,167,261,51,36,146,231,30,41,186,315,.000753863,2
34,34,212,357,14,18,76,123,53,37,189,323,79,46,253,430,28,19,101,153,.000384111,2
50,52,255,414,18,23,135,233,40,38,154,263,57,48,217,355,36,49,317,569,.00088425,3
25,27,129,210,38,42,251,433,56,35,175,294,41,24,131,209,32,24,146,231,.00051308,4
18,20,171,311,14,18,77,125,58,40,202,339,55,34,188,311,39,33,180,315,.000344948,2
36,31,204,343,30,39,183,306,36,24,117,191,35,25,114,185,26,27,128,214,.000449369,4
41,38,274,473,39,39,200,323,43,32,169,265,46,35,188,324,34,35,231,404,.000565347,3
26,29,173,298,39,49,273,469,34,19,94,142,34,19,94,142,41,41,174,274,.000401845,7
40,41,175,278,39,39,278,478,43,30,150,227,60,46,213,328,39,39,188,301,.000683731,4
27,27,127,202,23,26,98,153,39,28,143,244,50,31,211,369,18,11,66,104,.000273737,3
17,25,114,195,30,39,160,261,25,21,101,170,40,31,148,244,27,24,134,224,.000511813,3
16,16,141,251,20,24,142,242,28,14,94,147,38,23,125,191,33,20,141,233,.000470536,4
27,22,117,186,20,27,152,265,25,14,116,210,22,14,107,192,15,9,97,169,.000306556,4
10,11,134,248,10,11,125,232,17,13,86,150,16,13,79,134,10,8,103,190,.000364121,3
37,25,195,321,46,38,293,495,56,32,263,469,54,28,226,397,40,27,384,700,.000493273,13
23,26,122,197,26,26,158,267,29,25,124,200,33,23,118,195,18,19,78,119,.000472073,3
13,15,64,100,18,24,166,301,24,18,95,154,38,25,128,211,19,17,144,257,.000422876,3
41,50,261,442,15,17,125,220,41,25,150,267,44,29,149,237,35,26,179,309,.000508925,3
17,21,114,198,19,20,102,166,25,17,100,167,21,15,85,141,21,19,123,212,.000384902,3
11,11,119,216,8,6,80,144,10,4,31,44,10,4,31,44,9,4,30,43,.000198204,2
26,26,167,283,43,58,319,553,35,28,127,198,63,46,193,330,32,39,433,808,.000483552,2
36,32,199,328,18,20,95,153,56,38,193,335,78,49,268,449,34,33,148,243,.000616985,2
35,27,257,452,17,16,91,148,21,13,84,139,23,13,88,149,22,17,121,206,.000422874,2
32,35,170,280,18,29,182,327,9,10,42,64,14,12,58,94,11,11,47,71,.000266296,3
55,54,314,527,60,70,718,1324,58,41,241,407,64,43,248,408,38,47,430,788,.000778648,5
28,34,137,222,29,36,154,257,62,40,214,359,53,36,184,315,21,16,95,156,.000409237,2
27,25,209,380,25,22,175,311,25,16,88,152,24,14,84,148,20,16,174,327,.000322822,4
44,35,237,389,47,43,331,568,41,32,144,232,38,26,130,210,35,30,174,281,.000676044,7
27,20,122,199,21,25,115,187,23,16,98,165,22,15,90,151,19,19,108,189,.00042254,4
41,39,238,395,26,33,192,334,38,27,134,226,36,27,126,213,34,33,267,484,.000492057,3
31,26,133,204,26,31,154,256,30,20,100,148,34,22,118,178,23,24,135,225,.000454241,4
25,28,146,237,38,45,352,631,51,30,178,300,46,26,166,282,37,38,215,366,.00103008,3
41,39,204,328,33,43,203,349,39,33,136,205,44,32,143,230,35,37,186,307,.000684732,2
32,38,232,405,26,31,214,385,56,40,184,315,44,34,148,253,30,31,195,339,.000584807,2
42,42,183,298,21,20,168,299,60,47,217,358,69,47,203,347,21,22,79,120,.000612869,3
18,17,100,162,20,30,207,373,33,29,120,187,30,27,114,183,31,27,214,370,.000605053,3
30,28,163,276,22,28,105,167,31,27,105,149,45,33,145,233,34,36,215,365,.000669907,4
22,19,130,226,15,19,172,314,33,16,118,198,32,16,110,182,22,15,151,272,.000349323,4
54,58,367,634,37,38,225,380,58,38,221,365,66,45,250,417,38,34,181,297,.00052696,6
48,35,308,534,20,18,194,347,51,34,204,345,34,22,146,251,24,16,110,182,.000408569,4
27,27,162,277,22,23,135,226,17,10,75,122,18,10,78,128,16,12,165,302,.000399996,4
13,14,118,211,14,25,193,358,41,28,147,254,38,24,123,209,12,14,105,187,.000335542,3
41,42,217,355,24,34,198,349,38,24,112,166,46,30,135,205,31,22,122,192,.000378464,2
45,50,313,542,37,45,331,588,48,39,164,272,42,33,142,221,48,49,259,440,.000830602,2
27,25,170,290,30,29,162,267,36,22,122,203,32,19,109,180,23,14,72,106,.000342353,3
19,17,97,156,17,17,108,181,28,17,96,158,30,19,99,162,30,18,108,176,.000507253,4
30,24,187,329,25,26,274,500,43,26,171,297,36,22,147,248,32,26,226,402,.00058047,4
25,26,148,247,22,29,170,298,39,24,142,227,36,19,130,219,25,22,188,335,.000395768,3
27,34,183,310,23,19,137,228,43,23,149,261,38,23,134,233,24,27,176,309,.000627782,4
25,14,94,146,15,14,83,138,25,13,82,131,30,15,97,149,20,12,131,231,.00032777,4
36,33,161,252,16,23,129,225,29,18,113,180,34,21,141,229,17,11,94,157,.000464455,4
26,24,167,283,23,24,164,284,42,25,164,282,51,28,187,326,29,22,148,257,.000520778,4
38,32,205,338,22,25,146,249,36,22,119,196,35,20,118,194,31,25,215,391,.000380352,5
15,9,69,109,22,26,198,353,23,12,83,147,22,12,80,141,15,14,146,269,.000366816,3
26,30,183,317,31,35,160,258,47,29,170,283,52,37,173,295,33,38,160,260,.00173246,4
34,33,210,369,25,23,148,247,41,24,145,227,42,24,151,237,31,22,136,224,.000632953,5
32,29,171,283,24,21,179,310,35,22,126,200,45,28,147,247,21,21,139,245,.00051256,3
42,40,169,259,57,60,270,430,57,38,185,301,63,42,199,325,43,39,186,293,.000767417,7
21,18,149,266,29,31,221,387,39,26,160,273,37,25,150,247,26,19,123,211,.000456684,2
35,38,166,275,17,20,125,219,25,17,81,132,23,17,76,122,21,19,154,278,.000303728,4
40,41,233,391,18,23,177,319,51,30,159,265,36,26,125,215,14,12,96,168,.000354206,2
20,20,219,405,27,36,223,399,19,18,82,131,28,23,111,179,28,29,304,560,.00054804,3
28,28,174,291,22,27,191,339,23,14,91,157,23,14,94,163,20,13,102,169,.000357317,2
21,22,152,264,49,50,348,601,47,25,175,276,29,21,125,219,40,36,187,303,.000822835,2
32,26,260,458,24,20,272,496,40,22,254,441,41,23,262,461,32,27,276,488,.000474129,10
8,6,63,108,7,3,30,44,15,8,60,102,15,8,60,102,13,7,74,132,.000270259,3
29,28,144,231,30,31,192,327,27,16,98,173,27,16,98,173,19,18,129,231,.000412097,2
37,37,183,300,44,40,288,490,30,15,116,199,31,15,109,182,19,14,106,185,.000347511,3
23,25,128,219,34,40,239,408,46,34,150,240,51,35,159,258,30,24,116,182,.000429969,4
37,30,219,362,33,28,160,256,37,22,124,209,38,23,127,214,27,19,148,254,.00038068,8
19,15,75,113,12,13,58,92,26,12,108,198,26,12,107,196,18,10,80,134,.000311167,2
41,53,303,523,33,40,259,450,54,39,169,234,62,44,205,313,43,41,155,230,.000579539,8
51,48,287,485,29,38,242,428,24,17,111,192,27,19,117,204,23,24,175,318,.000426478,4
25,26,156,269,20,31,144,247,37,19,162,273,56,31,224,385,26,24,134,222,.000473987,3
22,19,127,223,10,6,89,160,33,17,137,235,22,11,85,143,16,10,135,250,.000357873,2
39,44,206,337,38,51,269,473,76,51,254,428,72,45,209,363,34,36,191,326,.000574125,2
16,13,141,257,16,17,120,211,26,14,130,223,25,13,127,217,22,19,213,395,.000367165,4
31,30,153,243,26,33,199,352,33,23,113,181,38,24,136,234,26,23,125,204,.000572503,3
67,74,381,632,50,59,420,741,49,31,138,229,50,34,142,240,44,40,222,373,.000969744,6
24,17,144,246,17,15,184,335,40,27,156,243,35,28,140,224,32,20,118,187,.000541496,4
25,19,169,289,31,33,230,404,35,23,127,210,34,22,129,206,24,22,144,250,.000506956,4
35,32,223,382,30,31,219,377,46,30,169,308,58,37,186,339,28,26,190,338,.000524435,3
29,23,137,227,19,23,161,285,45,30,153,259,38,27,119,197,18,15,64,96,.000387448,5
14,10,113,202,11,8,109,196,15,7,60,96,15,7,62,104,16,7,72,123,.000253462,3
53,42,331,559,48,41,244,397,37,27,149,256,34,26,137,224,37,37,261,459,.000644255,7
27,21,180,310,20,15,94,149,43,24,145,226,37,22,128,199,31,26,128,196,.000478204,3
43,47,274,465,29,35,196,332,41,26,153,272,37,29,153,274,35,32,190,335,.000658618,3
26,28,165,280,31,41,405,749,36,25,156,279,30,25,138,249,16,16,110,196,.000450721,2
32,36,204,348,33,36,144,225,35,28,139,236,46,31,172,290,29,29,184,313,.000546628,3
32,24,156,251,19,20,181,327,27,17,135,229,24,17,119,195,17,15,112,194,.000414211,4
36,41,335,603,32,40,271,479,40,21,158,259,42,23,161,267,41,32,237,419,.000459495,3
19,20,114,190,20,28,180,318,30,22,124,199,34,23,123,195,22,23,156,270,.000450081,3
43,39,207,333,49,40,224,354,75,48,268,457,78,49,288,519,51,32,179,277,.000753894,9
15,12,99,171,16,20,95,156,39,25,101,157,35,22,91,142,19,11,53,68,.000305299,3
54,51,206,306,48,50,283,470,56,42,217,338,51,31,173,267,51,47,243,388,.00100457,9
32,24,171,283,29,27,167,273,31,25,124,212,34,24,119,197,32,26,116,187,.000592812,4
49,47,246,398,35,45,199,331,33,32,116,206,46,33,162,285,35,32,153,245,.000463243,4
15,19,134,238,18,23,143,252,21,16,90,157,18,13,70,121,21,19,157,278,.000290971,3
40,36,206,339,38,50,260,452,79,44,277,514,75,41,266,500,51,48,347,601,.000504456,3
41,37,141,211,35,43,177,290,65,44,217,353,68,44,219,351,41,38,226,378,.00057137,6
23,20,117,200,21,25,123,205,21,12,72,123,19,11,68,115,25,23,210,383,.000542625,3
32,25,230,408,31,41,277,498,25,16,85,128,24,15,85,127,17,11,69,106,.000482672,5
43,51,224,364,21,31,158,278,26,19,97,172,38,34,144,251,23,27,109,190,.000595285,2
25,25,136,233,19,25,181,328,23,11,94,156,25,11,94,156,20,11,71,110,.000256251,3
37,30,127,186,31,38,309,559,40,20,125,182,37,19,122,182,34,22,117,179,.000352733,7
31,34,225,393,27,41,248,443,30,27,135,223,35,26,151,246,31,29,169,289,.000666295,2
37,41,237,409,37,40,208,344,43,28,141,237,35,23,120,199,27,29,150,252,.000437984,2
36,32,194,324,21,21,136,230,25,21,94,163,26,22,95,165,22,21,92,146,.000338494,2
43,43,238,394,23,26,124,207,35,22,139,246,35,21,136,242,27,28,165,287,.000373442,2
31,40,234,408,24,35,142,242,64,39,207,360,75,42,265,466,25,31,261,478,.000484356,3
38,35,204,340,23,30,127,212,51,32,156,282,36,24,127,222,36,39,242,433,.000433876,3
29,28,151,251,34,38,181,295,48,31,140,205,49,30,141,210,34,31,238,415,.000399001,3
24,21,175,303,27,29,118,189,38,26,132,224,45,28,151,250,31,23,165,277,.000307131,2
15,16,92,156,18,14,89,152,25,16,98,166,35,19,123,208,28,18,107,168,.000485353,3
25,21,162,284,21,20,132,221,37,25,138,238,34,24,121,204,26,26,163,277,.00035899,3
26,24,124,201,15,17,133,235,44,30,154,263,52,32,172,296,30,24,165,278,.000571551,2
30,20,107,157,39,39,194,318,65,42,181,279,66,39,185,292,35,32,188,314,.000397545,7
27,26,139,232,23,26,122,200,50,35,149,239,42,27,119,189,21,23,188,343,.000458132,3
28,19,141,232,19,20,154,270,27,21,100,167,28,22,101,165,24,23,84,129,.00041747,3
23,23,122,200,19,22,115,196,25,16,84,136,26,16,87,140,21,15,154,274,.000307418,3
37,34,191,311,21,27,143,250,19,14,76,128,25,16,91,154,20,20,161,290,.00039296,3
22,22,156,275,20,18,163,284,29,21,103,173,28,22,100,173,17,16,155,278,.000356188,3
17,23,195,355,13,16,253,478,16,8,286,551,16,8,285,549,16,8,291,561,.000258352,5
41,37,222,368,31,31,185,308,29,22,89,128,29,20,88,125,34,34,218,367,.000418851,6
51,53,329,560,27,35,181,311,43,28,119,193,48,42,200,342,43,41,215,348,.00058737,4
25,25,160,279,22,35,186,327,49,31,153,264,44,28,147,251,29,30,176,313,.00049028,2
25,22,101,155,23,28,171,301,41,26,144,251,39,26,132,227,32,27,133,216,.000362531,2
30,30,173,290,27,33,195,340,38,22,126,221,38,22,134,232,30,19,142,251,.000738559,2
28,27,205,361,26,28,149,251,29,16,86,143,28,15,79,129,26,14,84,137,.000313716,6
42,42,226,368,43,32,182,288,43,30,109,147,57,36,176,265,53,36,226,361,.000602248,7
28,32,199,345,36,48,218,371,37,28,136,238,38,28,140,237,28,32,145,244,.000492257,2
45,39,220,352,21,22,134,227,42,26,142,239,36,23,117,179,32,33,196,340,.000446076,5
25,26,142,242,17,30,133,235,36,24,138,248,36,24,139,248,21,21,140,248,.000397437,4
27,26,172,301,23,26,163,282,41,23,149,266,45,30,155,280,27,18,202,365,.000338073,2
21,24,144,251,26,28,135,220,27,17,83,130,29,19,90,144,23,24,125,213,.000462496,3
19,14,107,179,9,9,71,125,13,5,50,78,13,5,50,78,9,3,38,58,.000199093,2
20,27,154,272,22,33,176,308,34,24,127,219,41,31,141,235,23,26,113,189,.000454544,2
32,34,160,260,31,39,247,439,46,36,246,432,37,23,129,225,29,35,184,320,.000534912,4
27,33,186,316,48,46,326,562,58,35,204,331,43,22,131,194,30,27,155,257,.000462827,4
43,35,274,472,37,38,285,506,100,59,290,481,120,68,319,545,43,41,244,412,.000646382,9
39,35,218,368,35,33,196,328,43,27,132,217,42,24,133,221,43,26,181,315,.000461246,9
19,14,97,159,21,18,109,179,26,16,93,156,30,19,105,178,20,13,131,238,.000469117,3
14,18,178,331,12,15,157,292,17,8,82,141,16,8,79,135,14,8,90,156,.000243033,3
19,16,112,189,20,20,126,211,26,12,94,162,26,11,92,160,23,13,115,198,.000416774,3
20,19,180,322,15,16,125,220,13,8,52,82,31,18,110,184,31,20,130,219,.000386078,4
50,49,362,630,32,40,195,328,60,38,210,359,47,30,175,297,23,29,167,289,.000566447,4
35,41,208,355,24,35,220,397,39,23,136,231,37,22,128,217,23,17,177,321,.000342847,2
31,27,147,243,30,35,210,360,50,41,181,305,43,29,147,244,32,32,169,285,.000626282,2
32,22,117,187,25,29,123,198,34,23,107,166,18,11,74,126,26,26,188,328,.000404862,3
28,22,114,173,53,55,329,554,44,29,134,219,42,28,136,218,48,38,220,355,.000658111,4
25,24,108,167,16,21,89,146,24,20,92,165,27,21,91,161,23,23,141,241,.000342412,3
51,46,319,547,25,32,159,274,54,35,182,290,52,33,172,276,31,31,226,399,.000648425,5
21,16,152,270,16,13,117,206,26,13,99,167,23,12,87,147,20,13,100,171,.00031717,4
8,3,34,51,8,4,71,125,11,2,43,69,11,2,43,69,11,2,43,69,.000209519,2
20,20,145,262,27,26,222,389,31,18,103,171,32,18,114,195,19,14,90,147,.000345209,3
32,23,188,321,26,24,251,452,51,28,208,376,50,32,217,395,21,20,171,310,.000501111,3
25,24,123,202,22,26,155,268,9,5,29,40,9,5,29,40,8,4,28,39,.000227753,3
23,21,96,155,26,30,130,214,33,23,117,189,32,21,120,199,30,28,94,137,.00056541,3
27,25,207,366,17,24,179,331,37,20,162,292,25,13,79,117,24,23,237,437,.000297829,2
49,40,213,335,43,45,226,368,56,36,210,351,61,38,231,381,30,35,325,592,.000677336,8
35,31,122,180,33,32,180,297,19,15,69,109,20,15,74,119,22,19,104,173,.000373446,3
18,13,92,148,16,21,105,178,24,14,94,166,23,13,92,162,20,22,149,271,.000347069,2
27,28,136,221,22,33,162,281,31,19,108,169,31,19,106,163,22,23,154,267,.00050393,3
